date,item_name,amount,customer_name,category
2024-01-01,Eye Drops,5117,Walk-in Customer,Medicines
2024-01-02,Antacid Tablets,3947,Dr. Sharma Prescription,Medicines
2024-01-03,Vitamin C Tablets,3309,Regular Patient,Medicines
2024-01-04,Cough Syrup,2412,Monthly Subscriber,Medicines
2024-01-05,Iron Supplement,5052,Monthly Subscriber,Medicines
2024-01-06,Antibiotic Course,3998,Regular Patient,Medicines
2024-01-07,Antiseptic Cream,3321,Elderly Customer,Medicines
2024-01-08,Vitamin C Tablets,5062,Walk-in Customer,Medicines
2024-01-09,Protein Powder 500g,3261,Walk-in Customer,Medicines
2024-01-10,Protein Powder 500g,5849,Walk-in Customer,Medicines
2024-01-11,Vitamin C Tablets,2740,Monthly Subscriber,Medicines
2024-01-12,Protein Powder 500g,5056,Regular Patient,Medicines
2024-01-13,Multivitamin Bottle,2434,Walk-in Customer,Medicines
2024-01-14,Antacid Tablets,5740,Walk-in Customer,Medicines
2024-01-15,Multivitamin Bottle,3153,Regular Patient,Medicines
2024-01-16,BP Tablets,2364,Dr. Sharma Prescription,Medicines
2024-01-17,Iron Supplement,3476,Monthly Subscriber,Medicines
2024-01-18,Antiseptic Cream,3739,Monthly Subscriber,Medicines
2024-01-19,Antibiotic Course,4991,Regular Patient,Medicines
2024-01-20,Bandage Roll,4889,Elderly Customer,Medicines
2024-01-21,Antibiotic Course,4885,Elderly Customer,Medicines
2024-01-22,Vitamin C Tablets,4064,Regular Patient,Medicines
2024-01-23,Antacid Tablets,2324,Elderly Customer,Medicines
2024-01-24,Eye Drops,3662,Regular Patient,Medicines
2024-01-25,Antibiotic Course,3213,Dr. Sharma Prescription,Medicines
2024-01-26,Nasal Spray,3847,Walk-in Customer,Medicines
2024-01-27,Eye Drops,3836,Dr. Sharma Prescription,Medicines
2024-01-28,Paracetamol Strip,2946,Regular Patient,Medicines
2024-01-29,Antibiotic Course,4660,Dr. Sharma Prescription,Medicines
2024-01-30,Bandage Roll,4481,Regular Patient,Medicines
2024-01-31,Eye Drops,4447,Elderly Customer,Medicines
2024-02-01,Paracetamol Strip,5779,Regular Patient,Medicines
2024-02-02,BP Tablets,4859,Dr. Sharma Prescription,Medicines
2024-02-03,Antiseptic Cream,4728,Monthly Subscriber,Medicines
2024-02-04,Eye Drops,3006,Dr. Sharma Prescription,Medicines
2024-02-05,Cough Syrup,3951,Dr. Sharma Prescription,Medicines
2024-02-06,Nasal Spray,4339,Monthly Subscriber,Medicines
2024-02-07,Paracetamol Strip,5166,Elderly Customer,Medicines
2024-02-08,Eye Drops,5802,Dr. Sharma Prescription,Medicines
2024-02-09,Protein Powder 500g,4820,Regular Patient,Medicines
2024-02-10,Antacid Tablets,5231,Monthly Subscriber,Medicines
2024-02-11,Antibiotic Course,3799,Monthly Subscriber,Medicines
2024-02-12,Bandage Roll,2603,Walk-in Customer,Medicines
2024-02-13,Antacid Tablets,5062,Monthly Subscriber,Medicines
2024-02-14,Paracetamol Strip,5604,Elderly Customer,Medicines
2024-02-15,Antacid Tablets,5745,Dr. Sharma Prescription,Medicines
2024-02-16,Iron Supplement,4659,Regular Patient,Medicines
2024-02-17,Diabetes Strips,4321,Monthly Subscriber,Medicines
2024-02-18,Antibiotic Course,3244,Elderly Customer,Medicines
2024-02-19,Cough Syrup,5149,Walk-in Customer,Medicines
