date,item_name,amount,customer_name,category
2024-01-01,Hair Wash,4598,Rahul Verma,Beauty Services
2024-01-02,Waxing,6882,Priya Sharma,Beauty Services
2024-01-03,Straightening,5413,Sunita Devi,Beauty Services
2024-01-04,Hair Color,4171,Walk-in Customer,Beauty Services
2024-01-05,Keratin Treatment,5744,Rahul Verma,Beauty Services
2024-01-06,Facial,3827,Regular Client,Beauty Services
2024-01-07,Threading,3888,Regular Client,Beauty Services
2024-01-08,Hair Color,6221,Walk-in Customer,Beauty Services
2024-01-09,Facial,4584,Walk-in Customer,Beauty Services
2024-01-10,Manicure,7286,Rahul Verma,Beauty Services
2024-01-11,Hair Wash,3992,Walk-in Customer,Beauty Services
2024-01-12,Hair Wash,2821,Sunita Devi,Beauty Services
2024-01-13,Haircut,2901,Walk-in Customer,Beauty Services
2024-01-14,Waxing,7840,Priya Sharma,Beauty Services
2024-01-15,Head Massage,5358,Regular Client,Beauty Services
2024-01-16,Straightening,5498,Walk-in Customer,Beauty Services
2024-01-17,Waxing,4106,Walk-in Customer,Beauty Services
2024-01-18,Hair Spa,6491,Rahul Verma,Beauty Services
2024-01-19,Threading,3491,Rahul Verma,Beauty Services
2024-01-20,Hair Color,6251,Rahul Verma,Beauty Services
2024-01-21,Head Massage,4819,Sunita Devi,Beauty Services
2024-01-22,Shave,6312,Rahul Verma,Beauty Services
2024-01-23,Beard Trim,4550,Walk-in Customer,Beauty Services
2024-01-24,Haircut,5760,Walk-in Customer,Beauty Services
2024-01-25,Hair Spa,7544,Priya Sharma,Beauty Services
2024-01-26,Manicure,2734,Regular Client,Beauty Services
2024-01-27,Head Massage,5605,Regular Client,Beauty Services
2024-01-28,Head Massage,5283,Sunita Devi,Beauty Services
2024-01-29,Hair Wash,2626,Walk-in Customer,Beauty Services
2024-01-30,Blow Dry,6371,Walk-in Customer,Beauty Services
2024-01-31,Facial,3714,Regular Client,Beauty Services
2024-02-01,Head Massage,2701,Walk-in Customer,Beauty Services
2024-02-02,Threading,7046,Rahul Verma,Beauty Services
2024-02-03,Manicure,6472,Sunita Devi,Beauty Services
2024-02-04,Threading,6285,Walk-in Customer,Beauty Services
2024-02-05,Facial,7661,Walk-in Customer,Beauty Services
2024-02-06,Keratin Treatment,6845,Regular Client,Beauty Services
2024-02-07,Facial,3981,Walk-in Customer,Beauty Services
2024-02-08,Straightening,6259,Priya Sharma,Beauty Services
2024-02-09,Hair Color,5395,Priya Sharma,Beauty Services
2024-02-10,Waxing,6941,Rahul Verma,Beauty Services
2024-02-11,Threading,2573,Walk-in Customer,Beauty Services
2024-02-12,Keratin Treatment,4571,Walk-in Customer,Beauty Services
2024-02-13,Shave,5395,Sunita Devi,Beauty Services
2024-02-14,Haircut,4667,Regular Client,Beauty Services
2024-02-15,Shave,7005,Sunita Devi,Beauty Services
2024-02-16,Head Massage,7005,Sunita Devi,Beauty Services
2024-02-17,Blow Dry,7469,Walk-in Customer,Beauty Services
2024-02-18,Facial,4122,Rahul Verma,Beauty Services
2024-02-19,Hair Wash,5338,Walk-in Customer,Beauty Services
